   2    2  0.70683E-02 -0.71520E-02
   6    2  0.21676E-01 -0.76357E-02
  10    2  0.37764E-01 -0.86758E-02
  14    2  0.56571E-01 -0.10444E-01
  18    2  0.79807E-01 -0.13283E-01
  22    2  0.11012     -0.17887E-01
  26    2  0.15208     -0.25794E-01
  30    2  0.21469     -0.41042E-01
  34    2  0.31906     -0.77840E-01
  38    2  0.51922     -0.22046    
  42    2  0.45483     -0.71422    
  46    2  0.12097     -0.85139    
  50    2 -0.13447     -0.87389    
  54    2 -0.38936     -0.85195    
  58    2 -0.72156     -0.71533    
  62    2 -0.78317     -0.22212    
  66    2 -0.57914     -0.80051E-01
  70    2 -0.46982     -0.43797E-01
  74    2 -0.40116     -0.29080E-01
  78    2 -0.35212     -0.21686E-01
  82    2 -0.31373     -0.17565E-01
  86    2 -0.28148     -0.15163E-01
  90    2 -0.25285     -0.13762E-01
  94    2 -0.22630     -0.12986E-01
  98    2 -0.20083     -0.12618E-01
 102    2 -0.17578     -0.12518E-01
 106    2 -0.15073     -0.12590E-01
 110    2 -0.12542     -0.12761E-01
 114    2 -0.99707E-01 -0.12973E-01
 118    2 -0.73557E-01 -0.13182E-01
 122    2 -0.47020E-01 -0.13351E-01
 126    2 -0.20204E-01 -0.13453E-01
   2    6  0.66586E-02 -0.21034E-01
   6    6  0.20382E-01 -0.22416E-01
  10    6  0.35370E-01 -0.25375E-01
  14    6  0.52632E-01 -0.30361E-01
  18    6  0.73463E-01 -0.38248E-01
  22    6  0.99634E-01 -0.50714E-01
  26    6  0.13361     -0.71150E-01
  30    6  0.17845     -0.10698    
  34    6  0.23460     -0.17551    
  38    6  0.27881     -0.31015    
  42    6  0.21911     -0.49896    
  46    6  0.52718E-01 -0.62000    
  50    6 -0.13383     -0.65538    
  54    6 -0.31984     -0.62166    
  58    6 -0.48459     -0.50228    
  62    6 -0.54156     -0.31512    
  66    6 -0.49352     -0.18212    
  70    6 -0.43246     -0.11522    
  74    6 -0.38165     -0.80978E-01
  78    6 -0.34065     -0.62083E-01
  82    6 -0.30645     -0.51072E-01
  86    6 -0.27664     -0.44509E-01
  90    6 -0.24955     -0.40648E-01
  94    6 -0.22403     -0.38521E-01
  98    6 -0.19929     -0.37543E-01
 102    6 -0.17477     -0.37329E-01
 106    6 -0.15011     -0.37608E-01
 110    6 -0.12506     -0.38170E-01
 114    6 -0.99531E-01 -0.38848E-01
 118    6 -0.73489E-01 -0.39506E-01
 122    6 -0.47004E-01 -0.40035E-01
 126    6 -0.20204E-01 -0.40355E-01
   2   10  0.59002E-02 -0.33716E-01
   6   10  0.17997E-01 -0.35812E-01
  10   10  0.30997E-01 -0.40260E-01
  14   10  0.45548E-01 -0.47642E-01
  18   10  0.62341E-01 -0.59023E-01
  22   10  0.82020E-01 -0.76270E-01
  26   10  0.10482     -0.10264    
  30   10  0.12936     -0.14361    
  34   10  0.14907     -0.20710    
  38   10  0.14578     -0.29775    
